"ID","CHR","MAPINFO","custom_Name","chr","custom_Group","repName","repClass","repFamily"
"cg18234973","1",60031255,"FGGY","chr1","Body","AluY","SINE","Alu"
"cg21950196","1",228327428,"GUK1","chr1","TSS1500","AluJr","SINE","Alu"
"cg26412603","1",228327465,"GUK1","chr1","TSS1500","AluJr","SINE","Alu"
"cg21515744","1",228327456,"GUK1","chr1","TSS1500","AluJr","SINE","Alu"
"cg11380914","1",716050,"RP11-206L10.6","chr1","5'UTR","AluSc","SINE","Alu"
"cg01922485","1",942696,"","chr1","","AluSq","SINE","Alu"
"cg23691733","1",944093,"","chr1","","AluSq2","SINE","Alu"
"cg04985032","1",944439,"","chr1","","AluJb","SINE","Alu"
"cg23281018","1",944789,"","chr1","","AluY","SINE","Alu"
"cg24004483","1",944783,"","chr1","","AluY","SINE","Alu"
"cg25552017","1",945416,"","chr1","","AluJb","SINE","Alu"
"cg24157008","1",945321,"","chr1","","AluJb","SINE","Alu"
"cg22020633","1",946683,"","chr1","","AluSz","SINE","Alu"
"cg26420561","1",946675,"","chr1","","AluSz","SINE","Alu"
"cg03185752","1",954631,"AGRN","chr1","TSS1500","AluJr4","SINE","Alu"
"cg09363892","1",954619,"AGRN","chr1","TSS1500","AluJr4","SINE","Alu"
"cg06375409","1",1028286,"C1orf159","chr1","5'UTR","AluJr","SINE","Alu"
"cg21616720","1",1150085,"TNFRSF4","chr1","TSS1500","AluSx1","SINE","Alu"
"cg25578497","1",1156891,"SDF4","chr1","Body","AluJb","SINE","Alu"
"cg27477059","1",1156876,"SDF4","chr1","Body","AluJb","SINE","Alu"
"cg17869799","1",1197095,"UBE2J2","chr1","Body","AluY","SINE","Alu"
"cg03525583","1",1197536,"UBE2J2","chr1","Body","AluSp","SINE","Alu"
"cg27530087","1",1214164,"SCNN1D","chr1","TSS1500","AluSq2","SINE","Alu"
"cg16527939","1",1253970,"CPSF3L","chr1","Body","AluJb","SINE","Alu"
"cg26831087","1",1259070,"GLTPD1","chr1","TSS1500","AluJo","SINE","Alu"
"cg07284402","1",1324107,"CCNL2","chr1","Body","AluSx1","SINE","Alu"
"cg11811184","1",1331803,"CCNL2","chr1","Body","AluSx","SINE","Alu"
"cg24399028","1",1338100,"MRPL20","chr1","Body","AluSp","SINE","Alu"
"cg20383673","1",1341716,"MRPL20","chr1","Body","AluSz","SINE","Alu"
"cg12525514","1",1343260,"MRPL20","chr1","TSS1500","AluSx3","SINE","Alu"
"cg04230662","1",1343134,"MRPL20","chr1","TSS1500","AluSx3","SINE","Alu"
"cg25397779","1",1343130,"MRPL20","chr1","TSS1500","AluSx3","SINE","Alu"
"cg15310231","1",1388050,"ATAD3C","chr1","Body","AluSc8","SINE","Alu"
"cg22306974","1",1413668,"ATAD3B","chr1","Body","AluSx1","SINE","Alu"
"cg24378791","1",1423784,"ATAD3B","chr1","Body","AluJb","SINE","Alu"
"cg13671768","1",1426641,"ATAD3B","chr1","Body","AluSc5","SINE","Alu"
"cg11722969","1",1452371,"ATAD3A","chr1","Body","AluSx1","SINE","Alu"
"cg05426853","1",1481910,"SSU72","chr1","Body","AluSq","SINE","Alu"
"cg07945460","1",1481947,"SSU72","chr1","Body","AluSx","SINE","Alu"
"cg09517190","1",1492513,"SSU72","chr1","Body","AluSz","SINE","Alu"
"cg10124011","1",1574521,"CDK11B","chr1","Body","AluSg","SINE","Alu"
"cg23252997","1",1576591,"CDK11B","chr1","Body","AluSx","SINE","Alu"
"cg19018051","1",1625395,"LOC728661","chr1","TSS1500","AluSg","SINE","Alu"
"cg13440958","1",1625403,"SLC35E2B","chr1","TSS1500","AluSg","SINE","Alu"
"cg26114076","1",1625689,"SLC35E2B","chr1","TSS1500","AluSx","SINE","Alu"
"cg23231093","1",1625702,"LOC728661","chr1","TSS1500","AluSx","SINE","Alu"
"cg11572942","1",1656592,"CDK11A","chr1","TSS1500","AluSz","SINE","Alu"
"cg15176125","1",1656587,"CDK11A","chr1","TSS1500","AluSz","SINE","Alu"
"cg09353726","1",1656589,"CDK11A","chr1","TSS1500","AluSz","SINE","Alu"
"cg16990280","1",1674679,"SLC35E2","chr1","5'UTR","AluSz","SINE","Alu"
"cg27605903","1",1700594,"NADK","chr1","5'UTR","AluSx","SINE","Alu"
"cg17266431","1",1711069,"NADK","chr1","TSS1500","AluJb","SINE","Alu"
"cg20732440","1",1749888,"GNB1","chr1","Body","AluJo","SINE","Alu"
"cg14953148","1",1792846,"GNB1","chr1","5'UTR","AluJr4","SINE","Alu"
"cg22380385","1",1885948,"KIAA1751","chr1","3'UTR","AluJb","SINE","Alu"
"cg11983992","1",1938655,"","chr1","","AluJr","SINE","Alu"
"cg16992594","1",1970955,"","chr1","","AluSx1","SINE","Alu"
"cg02912476","1",2035087,"PRKCZ","chr1","TSS1500","FRAM","SINE","Alu"
"cg00104098","1",2302183,"MORN1","chr1","Body","AluJb","SINE","Alu"
"cg02001297","1",2357253,"RP4-740C4.4","chr1","TSS200","AluSz","SINE","Alu"
"cg13221681","1",2514619,"RP3-395M20.9","chr1","5'UTR","AluSx","SINE","Alu"
"cg03168838","1",3552150,"WRAP73","chr1","Body","AluJb","SINE","Alu"
"cg04281243","1",3572467,"TP73","chr1","5'UTR","AluY","SINE","Alu"
"cg21411962","1",3729131,"KIAA0562","chr1","3'UTR","AluSx3","SINE","Alu"
"cg17085459","1",3784145,"DFFB","chr1","Body","AluJo","SINE","Alu"
"cg05041475","1",5797004,"","chr1","","AluSx3","SINE","Alu"
"cg00868388","1",5984846,"NPHP4","chr1","Body","AluJb","SINE","Alu"
"cg16758086","1",6173356,"CHD5","chr1","Body","AluJb","SINE","Alu"
"cg01335566","1",6200312,"CHD5","chr1","Body","AluSc","SINE","Alu"
"ch.1.228777R","1",6251025,"RPL22","chr1","Body","AluSq10","SINE","Alu"
"cg06744003","1",6255635,"RPL22","chr1","Body","AluSx","SINE","Alu"
"cg22174623","1",6257379,"RPL22","chr1","Body","AluSx3","SINE","Alu"
"cg24870568","1",6265806,"RNF207","chr1","TSS1500","AluSz","SINE","Alu"
"cg03716999","1",6265802,"RNF207","chr1","TSS1500","AluSz","SINE","Alu"
"cg26611832","1",6279843,"RNF207","chr1","3'UTR","AluSx1","SINE","Alu"
"cg27541349","1",6296337,"ICMT","chr1","TSS1500","AluSz","SINE","Alu"
"cg17992056","1",6296335,"ICMT","chr1","TSS1500","AluSz","SINE","Alu"
"cg06940574","1",6297128,"ICMT","chr1","TSS1500","AluY","SINE","Alu"
"cg15830682","1",6298637,"LINC00337","chr1","5'UTR","AluJo","SINE","Alu"
"cg06348737","1",6316858,"GPR153","chr1","5'UTR","FLAM_A","SINE","Alu"
"cg04861645","1",6318480,"GPR153","chr1","5'UTR","AluSq","SINE","Alu"
"cg00057114","1",6344362,"ACOT7","chr1","Body","AluSq2","SINE","Alu"
"cg24599624","1",6378146,"ACOT7","chr1","Body","AluJr","SINE","Alu"
"cg22171613","1",6396134,"ACOT7","chr1","Body","AluSc8","SINE","Alu"
"cg02726752","1",6446795,"ACOT7","chr1","TSS1500","AluJb","SINE","Alu"
"cg10770046","1",6446787,"ACOT7","chr1","Body","AluJb","SINE","Alu"
"cg15439119","1",6454987,"ACOT7","chr1","TSS1500","FRAM","SINE","Alu"
"cg07974772","1",6470784,"","chr1","","AluSz","SINE","Alu"
"cg20737459","1",6523514,"TNFRSF25","chr1","Body","AluSc8","SINE","Alu"
"cg06859828","1",6526718,"PLEKHG5","chr1","3'UTR","AluSz","SINE","Alu"
"cg26056577","1",6526583,"TNFRSF25","chr1","TSS1500","AluSz","SINE","Alu"
"cg12946080","1",6543581,"PLEKHG5","chr1","5'UTR","AluJr","SINE","Alu"
"cg04555063","1",6600579,"NOL9","chr1","Body","AluSx","SINE","Alu"
"cg12302560","1",6611319,"NOL9","chr1","Body","AluJb","SINE","Alu"
"cg21547845","1",6618814,"TAS1R1","chr1","Body","AluSx","SINE","Alu"
"cg00967405","1",6678492,"PHF13","chr1","Body","AluJb","SINE","Alu"
"cg14341542","1",6728775,"DNAJC11","chr1","Body","AluJr","SINE","Alu"
"cg24361350","1",6750722,"DNAJC11","chr1","Body","AluY","SINE","Alu"
"cg20668607","1",6762257,"DNAJC11","chr1","TSS1500","AluSx","SINE","Alu"
"cg23040782","1",6762215,"DNAJC11","chr1","TSS1500","AluSx","SINE","Alu"
"cg03753670","1",6762231,"DNAJC11","chr1","TSS1500","AluSx","SINE","Alu"
"cg22709811","1",6762265,"DNAJC11","chr1","TSS1500","AluSx","SINE","Alu"
"cg12475902","1",6764205,"","chr1","","AluY","SINE","Alu"
"cg15697595","1",6805149,"","chr1","","AluSp","SINE","Alu"
"cg10265982","1",6837223,"","chr1","","AluSx","SINE","Alu"
"cg25625600","1",6919841,"CAMTA1","chr1","Body","AluJo","SINE","Alu"
"cg18504143","1",7219603,"CAMTA1","chr1","Body","AluJr","SINE","Alu"
"cg05708629","1",7707865,"CAMTA1","chr1","Body","AluJo","SINE","Alu"
"cg06082897","1",7767716,"CAMTA1","chr1","Body","AluJb","SINE","Alu"
"cg13355420","1",7832676,"VAMP3","chr1","Body","AluSq2","SINE","Alu"
"cg15727920","1",7914017,"UTS2","chr1","TSS1500","AluJb","SINE","Alu"
"cg17861477","1",7914143,"UTS2","chr1","TSS1500","AluSg","SINE","Alu"
"cg02563827","1",8003721,"TNFRSF9","chr1","TSS1500","AluJb","SINE","Alu"
"cg22677498","1",8004329,"","chr1","","AluY","SINE","Alu"
"cg06619807","1",8011102,"","chr1","","AluSg7","SINE","Alu"
"cg00534134","1",8067352,"ERRFI1-IT1","chr1","TSS1500","AluSg","SINE","Alu"
