"ID","CHR","MAPINFO","custom_Name","chr","custom_Group","repName","repClass","repFamily"
"cg23251678","1",198181345,"NEK7","chr1","5'UTR","L1PBa","LINE","L1"
"cg15690400","1",12189847,"TNFRSF8","chr1","5'UTR","L1MC4","LINE","L1"
"cg19408626","1",12189773,"TNFRSF8","chr1","5'UTR","L1MC4","LINE","L1"
"cg25342481","1",47449205,"","chr1","","L1PA15","LINE","L1"
"cg14924764","1",51248989,"FAF1","chr1","Body","L1MB1","LINE","L1"
"cg18355160","1",80342329,"","chr1","","L1PA15","LINE","L1"
"cg01363235","1",111412324,"CD53","chr1","TSS1500","L1PA15","LINE","L1"
"cg19712447","1",112065968,"TMIGD3","chr1","Body","L1ME1","LINE","L1"
"cg09368234","1",114950181,"TRIM33","chr1","Body","L1MC5","LINE","L1"
"cg08177555","1",114950648,"TRIM33","chr1","Body","L1MC5","LINE","L1"
"cg05595424","1",173539845,"SLC9C2","chr1","Body","L1MA2","LINE","L1"
"cg11216264","1",174194792,"RABGAP1L","chr1","Body","L1MEf","LINE","L1"
"cg01173511","1",183763082,"RGL1","chr1","Body","L1MA4","LINE","L1"
"cg17803410","1",195558877,"","chr1","","L1MA1","LINE","L1"
"cg01020768","1",215355122,"KCNK2","chr1","Body","L1PA11","LINE","L1"
"cg16315980","1",216659267,"","chr1","","L1PA2","LINE","L1"
"cg18086868","1",220463627,"","chr1","","L1MEd","LINE","L1"
"cg21772589","1",228458283,"OBSCN","chr1","Body","L1M5","LINE","L1"
"cg16382250","1",129946,"RP11-34P13.7","chr1","TSS1500","L1M2","LINE","L1"
"cg16162899","1",449076,"RP4-669L17.4","chr1","5'UTR","L1MD3","LINE","L1"
"cg24669183","1",534242,"","chr1","","L1MD3","LINE","L1"
"cg09961319","1",720026,"RP11-206L10.7","chr1","5'UTR","L1MC4","LINE","L1"
"cg02339369","1",720220,"AL669831.1","chr1","TSS1500","L1MC4","LINE","L1"
"cg17505339","1",720865,"AL669831.1","chr1","TSS1500","L1MEg","LINE","L1"
"cg09499020","1",752495,"FAM87B","chr1","TSS1500","L1P4","LINE","L1"
"cg20283468","1",752454,"FAM87B","chr1","TSS1500","L1P4","LINE","L1"
"cg20501011","1",841067,"","chr1","","L1MB5","LINE","L1"
"cg12199972","1",918526,"PERM1","chr1","TSS1500","L1M5","LINE","L1"
"cg15628028","1",919200,"","chr1","","L1M5","LINE","L1"
"cg26114254","1",920580,"","chr1","","L1ME1","LINE","L1"
"cg03801109","1",921989,"","chr1","","L1ME1","LINE","L1"
"cg10010734","1",922010,"","chr1","","L1ME1","LINE","L1"
"cg26837773","1",947091,"","chr1","","L1MB5","LINE","L1"
"cg22618402","1",947210,"","chr1","","L1MB5","LINE","L1"
"cg01768082","1",946875,"","chr1","","L1MB5","LINE","L1"
"cg15825373","1",947153,"","chr1","","L1MB5","LINE","L1"
"cg22367159","1",947018,"","chr1","","L1MB5","LINE","L1"
