"chr","Start","End"
"chr1","10001","28734"
"chr1","29811","135123"
"chr1","135564","177417"
"chr1","227418","267719"
"chr1","317720","327789"
"chr1","328230","437150"
"chr1","438165","449272"
"chr1","450545","471368"
"chr1","521369","533218"
"chr1","534115","544737"
"chr1","546650","705470"
"chr1","854974","858969"
"chr1","861633","869331"
"chr1","871873","875729"
"chr1","878364","879097"
"chr1","995304","999677"
"chr1","999912","1002662"
"chr1","1005319","1011508"
"chr1","1013403","1016663"
"chr1","1050831","1051177"
"chr1","1052446","1072368"
"chr1","1072848","1093210"
"chr1","1093477","1098042"
"chr1","1100585","1109313"
"chr1","1110146","1115573"
"chr1","1116007","1132826"
"chr1","1133219","1136359"
"chr1","1137157","1141669"
"chr1","1142151","1145567"
"chr1","1145879","1146707"
"chr1","1146915","1149054"
"chr1","1149525","1149998"
"chr1","2344718","2345890"
"chr1","2346157","2359925"
"chr1","2360168","2371845"
"chr1","2372074","2374817"
"chr1","2375815","2387668"
"chr1","2388087","2398824"
"chr1","2399056","2409756"
"chr1","2410050","2411124"
"chr1","2411405","2415197"
"chr1","2415507","2433647"
"chr1","2434066","2435040"
"chr1","2435258","2435553"
"chr1","2435829","2438827"
"chr1","2485434","2499127"
"chr1","2518893","2527238"
"chr1","2527504","2537670"
"chr1","2537887","2559891"
"chr1","2561056","2574029"
"chr1","2574865","2634220"
"chr1","2684221","2706024"
"chr1","2706962","2716740"
"chr1","2717234","2772125"
"chr1","2772666","2777156"
"chr1","2777362","2827784"
"chr1","2828295","2847055"
"chr1","2847289","2850664"
"chr1","2850874","2876544"
"chr1","2876809","2885061"
"chr1","2885285","2886588"
"chr1","2886924","2918364"
"chr1","2918754","2929154"
"chr1","2929377","2938632"
"chr1","2939044","2979274"
"chr1","2980759","2983924"
"chr1","2987963","2990029"
"chr1","2990719","2997271"
"chr1","2997474","2999726"
"chr1","2999979","3028178"
"chr1","3028558","3038066"
"chr1","3038344","3056540"
"chr1","3056773","3059049"
"chr1","3059269","3071898"
"chr1","3072240","3080933"
"chr1","3081293","3102539"
"chr1","3103353","3104955"
"chr1","3105254","3111578"
"chr1","3111910","3147844"
"chr1","3148082","3155159"
"chr1","3155362","3157508"
"chr1","3158301","3163968"
"chr1","3164644","3182820"
"chr1","3183217","3184545"
"chr1","3184825","3195375"
"chr1","3196053","3203764"
"chr1","3204454","3239914"
"chr1","3240262","3275028"
"chr1","3275285","3307068"
"chr1","3307286","3310101"
"chr1","3311036","3321268"
