"ID","CHR","MAPINFO","custom_Name","custom_Group","methylated_allele","tissue_specificity","associated_gene","court","hanna","sanchez_delgado","zink","hamada","note"
"cg14848383","1",6685149,"THAP3","TSS200","M","placental-specific","THAP3",NA,TRUE,NA,NA,NA,""
"cg08163621","1",6685996,"THAP3","Body","M","placental-specific","THAP3",NA,TRUE,NA,NA,NA,""
"cg08250099","1",6685624,"THAP3","Body","M","placental-specific","THAP3",NA,TRUE,NA,NA,NA,""
"cg11688219","1",6684919,"THAP3","TSS1500","M","placental-specific","THAP3",NA,TRUE,NA,NA,NA,""
"cg02357257","1",6685072,"THAP3","TSS200","M","placental-specific","THAP3",NA,TRUE,NA,NA,NA,""
"cg23756937","1",6685092,"THAP3","5'UTR","M","placental-specific","THAP3",NA,TRUE,NA,NA,NA,""
"cg17946470","1",6685935,"THAP3","Body","M","placental-specific","THAP3",NA,TRUE,NA,NA,NA,""
"cg22742764","1",6685293,"THAP3","1stExon","M","placental-specific","THAP3",NA,TRUE,NA,NA,NA,""
"cg06826730","1",6685575,"THAP3","Body","M","placental-specific","THAP3",NA,TRUE,NA,NA,NA,""
"cg24635178","1",6685087,"THAP3","TSS200","M","placental-specific","THAP3",NA,TRUE,NA,NA,NA,""
"cg24312985","1",6684957,"THAP3","TSS1500","M","placental-specific","THAP3",NA,TRUE,NA,NA,NA,""
"cg27300967","1",6685162,"THAP3","TSS200","M","placental-specific","THAP3",NA,TRUE,NA,NA,NA,""
"cg05937630","1",19615480,"AKR7A3","TSS1500","M","placental-specific","AKR7A3",NA,TRUE,NA,NA,NA,""
"cg09028008","1",19615080,"AKR7A3","1stExon","M","placental-specific","AKR7A3",NA,TRUE,NA,NA,NA,""
"cg07037032","1",19614429,"AKR7A3","Body","M","placental-specific","AKR7A3",NA,TRUE,NA,NA,NA,""
"cg17594860","1",19615358,"AKR7A3","TSS200","M","placental-specific","AKR7A3",NA,TRUE,NA,NA,NA,""
"cg16126458","1",19615370,"AKR7A3","TSS200","M","placental-specific","AKR7A3",NA,TRUE,NA,NA,NA,""
"cg07447773","1",19614851,"AKR7A3","Body","M","placental-specific","AKR7A3",NA,TRUE,NA,NA,NA,""
"cg08917933","1",19615303,"AKR7A3","TSS200","M","placental-specific","AKR7A3",NA,TRUE,NA,NA,NA,""
"cg24008908","1",19615453,"AKR7A3","TSS200","M","placental-specific","AKR7A3",NA,TRUE,NA,NA,NA,""
"cg04091063","1",19615382,"AKR7A3","TSS200","M","placental-specific","AKR7A3",NA,TRUE,NA,NA,NA,""
"cg20253350","1",19615659,"AKR7A3","TSS1500","M","placental-specific","AKR7A3",NA,TRUE,NA,NA,NA,""
"cg07838106","1",19615443,"AKR7A3","TSS200","M","placental-specific","AKR7A3",NA,TRUE,NA,NA,NA,""
"cg00690710","1",19615438,"AKR7A3","TSS200","M","placental-specific","AKR7A3",NA,TRUE,NA,NA,NA,""
"cg11233384","1",19615702,"AKR7A3","TSS1500","M","placental-specific","AKR7A3",NA,TRUE,NA,NA,NA,""
"cg02910873","1",19615652,"AKR7A3","TSS1500","M","placental-specific","AKR7A3",NA,TRUE,NA,NA,NA,""
"cg26235710","1",36184717,"C1orf216","1stExon","M","placental-specific","C1orf216",NA,TRUE,NA,NA,NA,""
"cg08895440","1",36184853,"C1orf216","TSS200","M","placental-specific","C1orf216",NA,TRUE,NA,NA,NA,""
"cg22369954","1",36184863,"C1orf216","TSS200","M","placental-specific","C1orf216",NA,TRUE,NA,NA,NA,""
"cg16144447","1",36184773,"C1orf216","1stExon","M","placental-specific","C1orf216",NA,TRUE,NA,NA,NA,""
"cg07093915","1",36184400,"C1orf216","1stExon","M","placental-specific","C1orf216",NA,TRUE,NA,NA,NA,""
"cg05312965","1",36184589,"C1orf216","5'UTR","M","placental-specific","C1orf216",NA,TRUE,NA,NA,NA,""
"cg17369438","1",36184635,"C1orf216","5'UTR","M","placental-specific","C1orf216",NA,TRUE,NA,NA,NA,""
"cg04622024","1",38201001,"EPHA10","Body","M","other","EPHA10",NA,TRUE,NA,NA,NA,""
"cg11664987","1",38201123,"EPHA10","Body","M","other","EPHA10",NA,TRUE,NA,NA,NA,""
"cg24375409","1",38200920,"EPHA10","Body","M","other","EPHA10",NA,TRUE,NA,NA,NA,""
"cg15057250","1",40025415,"LOC728448","TSS200","M","other","PPIEL",TRUE,TRUE,NA,NA,NA,""
